author,author_link,title,url
Monica Chin,https://www.theverge.com/authors/monica-chin,Reviews,https://www.theverge.com/reviews/
Tom Warren,https://www.theverge.com/authors/tom-warren,Microsoft Surface Pro 7 Plus review: built for business,https://www.theverge.com/22309005/microsoft-surface-pro-7-plus-review
Jon Porter,https://www.theverge.com/authors/jon-porter,The best free password manager,https://www.theverge.com/22311182/best-free-password-manager-bitwarden-zoho-vault-roboform-sticky-password
Chris Welch,https://www.theverge.com/authors/chris-welch,Marshall’s Mode II earbuds are stuck between rock and a hard price,https://www.theverge.com/22312301/marshall-mode-ii-earbuds-review-features-price
Sam Byford,https://www.theverge.com/authors/sam-byford,Xiaomi Mi 11 review: undercutting Samsung,https://www.theverge.com/22310843/xiaomi-mi-11-review-samsung
Thomas Ricker,https://www.theverge.com/authors/thomas-ricker,HomeKit makes Ikea’s cheap buttons and motion sensors much more powerful,https://www.theverge.com/22310841/ikea-shortcut-button-motion-sensor-homekit-smart-home-review-test
Monica Chin,https://www.theverge.com/authors/monica-chin,Vaio Z (2021) review: carbon tax,https://www.theverge.com/22310002/vaio-z-2021-laptop-review
Monica Chin,https://www.theverge.com/authors/monica-chin,Best laptop 2021: 15 best laptops you can buy,https://www.theverge.com/21250695/best-laptops
Allison Johnson,https://www.theverge.com/users/Allison%20Johnson,Motorola Moto G Stylus (2021) review: the write stuff,https://www.theverge.com/22311690/motorola-moto-g-stylus-2021-review-price-specs
Cameron Faulkner,https://www.theverge.com/authors/cameron-faulkner,Razer Blade 15 Base review: losing its edge,https://www.theverge.com/22315386/razer-blade-15-base-2021-review-gaming-laptop-nvidia-rtx-3070-qhd-screen-performance
Vjeran Pavic,https://www.theverge.com/users/vjeran,DJI Mini 2 review: tiny dancer,https://www.theverge.com/22277238/dji-mini-2-drone-review-price-specs-features
Dan Seifert,https://www.theverge.com/authors/dan-seifert,The best phone to buy right now,https://www.theverge.com/22163811/best-phone
JR Raphael,https://www.theverge.com/users/JR%20Raphael,How to get more space in your Google storage,https://www.theverge.com/22286339/google-drive-storage-more-space-how-to-photos-files
Dieter Bohn,https://www.theverge.com/authors/dieter-bohn,The most powerful Wear OS watches are held back by Wear OS,https://www.theverge.com/2021/3/7/22314135/ticwatch-pro-3-fossil-gen-5-lte-review-smartwatch-wear-os
Monica Chin,https://www.theverge.com/authors/monica-chin,"Razer Book 13 review: stop gaming, and get to work",https://www.theverge.com/22287698/razer-book-13-review-design-specs-price-features
Dan Seifert,https://www.theverge.com/authors/dan-seifert,Logitech’s Circle View Doorbell is the closest thing we have to an Apple-made doorbell,https://www.theverge.com/22318478/logitech-circle-view-doorbell-homekit-review-test-price
Becca Farsace,https://www.theverge.com/authors/becca-farsace,Insta360’s Go 2 is a $299 action camera with a surprisingly powerful case,https://www.theverge.com/22319707/insta360-go-2-action-camera-test-price-specs-features
Cameron Faulkner,https://www.theverge.com/authors/cameron-faulkner,Asus ROG Phone 5 Ultimate review: overkill,https://www.theverge.com/22321496/asus-rog-phone-5-ultimate-review-gaming-phone-snapdragon-888-ram-specs-features
Kaitlin Hatton,https://www.theverge.com/users/Kaitlin%20Hatton,The Halo Bolt portable car jump-starter is more than a battery saver,https://www.theverge.com/22288004/halo-bolt-car-battery-jump-start-charger-review
Chris Welch,https://www.theverge.com/authors/chris-welch,Amazon Fire TV Stick (2020) review: just get a 4K model,https://www.theverge.com/2021/2/18/22289197/amazon-fire-tv-stick-2020-review-features-specs-price
Monica Chin,https://www.theverge.com/authors/monica-chin,Asus ROG Zephyrus G15 review: AMD and Nvidia at their best,https://www.theverge.com/22321471/asus-rog-zephyrus-g15-gaming-laptop-review
Dieter Bohn,https://www.theverge.com/authors/dieter-bohn,The best smartphone you can buy for under $500,https://www.theverge.com/21420196/best-budget-smartphone-cheap
Monica Chin,https://www.theverge.com/authors/monica-chin,The best gaming laptops in 2021,https://www.theverge.com/22295181/best-gaming-laptop
Becca Farsace,https://www.theverge.com/authors/becca-farsace,Hasselblad’s 907X 50C is absolutely slow and absolutely stunning,https://www.theverge.com/22321819/hasselblad-907x-50c-review-medium-format-camera
Cameron Faulkner,https://www.theverge.com/authors/cameron-faulkner,The Audeze Penrose gaming headset nails almost everything except for comfort,https://www.theverge.com/22262114/audeze-penrose-gaming-headset-playstation-ps5-ps4-pc-wireless-bluetooth-planar-magnetic-drivers
Chris Welch,https://www.theverge.com/authors/chris-welch,The best streaming device to buy right now,https://www.theverge.com/21375098/best-streaming-device
Dieter Bohn,https://www.theverge.com/authors/dieter-bohn,"Apple Fitness Plus review: on track, but a long way to go ",https://www.theverge.com/22299628/apple-fitness-plus-review-price-classes-features
Monica Chin,https://www.theverge.com/authors/monica-chin,Best Chromebook 2021,https://www.theverge.com/21296102/best-chromebooks
Thomas Ricker,https://www.theverge.com/authors/thomas-ricker,Furosystems Aventa e-bike review: ice breaker,https://www.theverge.com/22289775/furosystems-aventa-electric-bike-review-price-features
Cameron Faulkner,https://www.theverge.com/authors/cameron-faulkner,"Gigabyte’s Aorus 15G is great at gaming, but not much else",https://www.theverge.com/22299226/gigabyte-aorus-15g-review-gaming-laptop-price-specs-features
Sean Hollister,https://www.theverge.com/authors/sean-hollister,Nvidia GeForce RTX 3060 review: $329 with an asterisk sign,https://www.theverge.com/22300659/nvidia-geforce-rtx-3060-review
Cameron Faulkner,https://www.theverge.com/authors/cameron-faulkner,Razer’s Kiyo Pro doesn’t deliver all the goods a $200 webcam should,https://www.theverge.com/22295235/razer-kiyo-pro-webcam-review-adjustable-field-of-view-streaming-zoom-video-calls-price-features
Dan Seifert,https://www.theverge.com/authors/dan-seifert,Amazon Echo Show 10 review: Alexa’s next move,https://www.theverge.com/22297810/amazon-echo-show-10-2021-review
Barbara Krasnoff,https://www.theverge.com/authors/barbara-krasnoff,How to stop your emails from being tracked,https://www.theverge.com/22288190/email-pixel-trackers-how-to-stop-images-automatic-download
